Provinsi,Jenis Faskes,Nama Faskes,Alamat Faskes
NANGGROE ACEH DARUSSALAM,"Rumah sakit","Rumah Sakit Harapan Sehat","JLSISINGAMANGARAJA, DS. GAMPA "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","Rumkit TK IV IM 07.02 Meulaboh","JL. MERAH PUTIH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS AL-ISLAMIC ACEH HOSPITAL","Jl Dr. Mr. Mohd. Hasan No 88"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS IBNU SINA","JL. BANDA ACEH - MEDAN KM 25.5"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU TGK. ABDULLAH SYAFI'I","BANDA ACEH-MEDAN, BEUREUNUN"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS MUFID","JLN PROF A MAJID IBRAHIM NO 62"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS CITRA HUSADA","JL. PROF A. MAJID IBRAHIM, LAM"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS ISLAM IBNU SINA SIGLI","JL. LINGKAR KEUNIRE NO. 21-24"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS PERTAMINA RANTAU","JL CEPU NO. 1"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD TAMIANG","JL. Kesehatan Kuala Simpang"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","LAB KLINIK HUSADA","JL. MEDAN - BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS PRIMA INTI MEDIKA","JL SINGGALANG NO 1, KOMPLEK PT"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU. Dr. FAUZIAH BIREUEN","JL. T. HAMZAH BENDAHARA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","LAB NURUL QOLBI","JLN. MEDAN-BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS Swasta","BIREUEN"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU MALAHAYATI","JL. MEDAN BANDA ACEH NO. 100 M"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS BMC Bireuen","JL. BIREUEN TAKENGON KM 1.6"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS TELAGA BUNDA","JL. PEUTUA BANTA NO. 7"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","AVICENNA","JL. LAKSAMANA MALAHAYATI NO.1"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU JEUMPA HOSPITAL","B.ACEH - MEDAN KM 220 NO. 102"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","PT. Rumah Sakit Jeumpa (IGD)","Banda Aceh - Medan KM. 220"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS TNI-AD LHOKSEUMAWE","JL. SAMUDERA NO. 53 A"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS. PMI LHOKSEUMAWE","JL. SAMUDERA "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","LAB VINCA ROSEA","JLN. DARUSSALAM"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","PRODIA",""
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU. Arun Lhokseumawe","JL. PLAJU KOMPLEK PERUMAHAN PT"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS Swasta","LHOKSEUMAWE"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS KASIH IBU","JL. MERDEKA NO. 17"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS BUNDA","JL. DARUSSALAM NO 16"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","BUNGA MELATI","JL. SAMUDERA BARU NO. 03"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS PMI ACEH UTARA","Jl. samudera"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS KASIH IBU","Merdeka No 17 SP Kuta Blang"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU LHOKSEUMAWE","Banda Aceh - Medan"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","PT. RSU SAKINAH Lhokseumawe","ANTARA NO.30"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU Metro Medical Center","JL. MERDEKA BARAT NO.70A KOTA "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSIA ABBY","Tgk Chik Ditiro No 28"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSIA ABBY","JALAN TEUKU CHIK DITIRO NOMOR "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU AZ-ZUHRA","JLN. PASAR IMPRES NO.2 / LK. IV"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD SINGKIL","JL RIMO SINGKIL KM 8"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS IBU DAN ANAK ACEH","JALAN PROF. A. MAJID IBRAHIM I"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS UBUDIYAH","Jl T Nyak Arief No 17 - 24"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU MEUTIA HOSPITAL","JL.CUT MUTIA NO.55 KP.BARU"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS Pendidikan USK","JALAN LINGKAR KAMPUS UNIVERSIT"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS NABILA HOSPITAL","JL. STA. MAHMUDSYAH NO. 9"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSIA CEMPAKA AZ-ZAHRA","JL. SYIAH KUALA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS BULAN SABIT MERAH INDONESIA","JL. SULTAN MALIKUL SALEH NO.17"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS PERTAMEDIKA UMMI ROSNATI","JL. SEKOLAH NO.5"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RUMAH SAKIT UMUM CEMPAKA LIMA","JL POLITEKNIK NO 23 DUSUN MNS DAYAH LR B"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSAL J. LILI PORY","JL T. CHIK DITIRO GAMPONG KUTA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD TEUKU UMAR","ALI GUNONG LR. PMI NO 1"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD Sultan Iskandar Muda","JLN. NASIONAL MEULABOH-TAPAKTU"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","HD RSUD ACEH BARAT DAYA","Jl. Nasional Desa Pulau Kayu K"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","UTD RSUD ABDYA","Nasional, susoh"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD DR. ZAINOEL ABIDIN","JL. TGK. DAUD BEUREUEH NO. 108"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS TENGKU FAKINAH"," JL. JEND. SUDIRMAN NO.27-29, "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS ISKANDAR MUDA","JL. T. ANGKASA BENDAHARA, KUTA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS JIWA ACEH","JL. DR. T. SYARIEF THAYEB NO. "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS.MALAHAYATI","JL.CUT NYAK DHIEN NO.498,BNA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS PERMATA HATI","JL ISKANDAR MUDA BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD MEURAXA","JALAN SOEKARNO - HATTA, MIBO, "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS HARAPAN BUNDA","JLT UMAR NO 181-185 BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS BHAYANGKARA POLDA NAD","JL. CUT NYAK DHIEN, NO 23 "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD SABANG","JL.T UMAR NO. 21 "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS.AL SABANG","0"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD ACEH BESAR","JL.BANDA ACEH-MEDAN KM.25 INDR"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU TGK. CHIK DITIRO SIGLI","JL. PROF. A MAJID IBRAHIM"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD LANGSA","JLN.A.YANI NO. 1 LANGSA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS.CUT NYAK DHIEN","JLN.T.M.BAHRUM"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU UMMI ","JLN. PROF. A. MADJID IBRAHIM"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUDH SAHUDIN KUTACANE","JL.KUTACANE-BLANGKEJEREN KM.3"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD CUT MEUTIA","JL. MEDAN BANDA ACEH KM 6 "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU BIREUEN","JL.KUBURAN"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS TK.IV ABRI","JL.SAMUDERA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RUMAH SAKIT "BUNDA"","JLN. DARUSALAM"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU DATU BERU","TAKENGON"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU CUT NYAK DHIEN Meulaboh","JL GAJAH MADA, MBO, ACEH BARAT"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","KLAIM UTD RSU CUT NYAK DHIEN","JL.GAJAH MADA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD DR.H.YULIDDIN AWAY","JLN. T. BEN MAHMUD NO. 86A"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD KABUPATEN ACEH TAMIANG","JL.KESEHATAN, KARANG BARU"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD SIMEULUE","JLN. RSU SIMEULUE SINABANG, SI"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD ACEH SINGKIL","JLN. RIMO / SINGKIL KM. 8"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","Rumah Sakit Nagan Raya","update manual by TSI"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD TEUNGKU PEUKAN","JLN. NASIONAL PADANG MEURANTE-"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","MCU Aceh Barat Daya","update manual by TSI"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD MUNYANG KUTE","JALAN TERITIT - PONDOK BARU, S"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS BERGERAK BENER MERIAH","Jl. Takengon - Bireuen"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","MUYANG KUTE","Jl. Simpang Teritit - Pondok B"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSIA Azalia","Empun Bayak"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD PIDIE JAYA","JL. B. ACEH-MEDAN KM. 158 MEUR"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD SUBULUSSALAM","Jln. Hamzah Fansyuri"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS TK IV IM 07 01","Jln Samudra No 53 A Kampung Jawa Kota Lhokseumawe"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD CUT MUTIA","JLN BANDA ACEH-MEDAN KM 6 BUKIT RATA KEC BLANG MANGAT"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD DR.MUCHTAR HASBI","JLN BANDA ACEH-MEDAN KM 304 ALUE MUDEM  KEC LHOKSUKON"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS Prima Inti Medika","Jln singalang no 1 komplek PT PIM krueng geukuh kec dewantara  "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS Bhayangkara","Jalan Cut Nyak Dhien, Banda Aceh"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSIA Azalia","Tingkem Benyer, Bukit, Kabupaten Bener Meriah, Aceh 24582"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RS Pertamedika Ummi Rosnati  VGR","RS Pertamedika Ummi Rosnati  VGR"
SUMATERA UTARA,"Rumah sakit","RS ARMINA","PANYABUNGAN KOTA"
SUMATERA UTARA,"Rumah sakit","RS PERMATA MADINA PANYABUNGAN","JL. MERDEKA NO 155 KEL. KAYU J"
SUMATERA UTARA,"Rumah sakit","RS PERMATA MADINA PANYABUNGAN","JALAN MERDEKA"
SUMATERA UTARA,"Rumah sakit","RSUD DR. HUSNI THAMRIN","JL. MULTATULI NO. 72 NATAL,"
SUMATERA UTARA,"Rumah sakit","RS PERMATA MADINA PYB (IGD)","JL. MERDEKA NO. 155 "
SUMATERA UTARA,"Rumah sakit","RSUD SIBUHUAN","JL. KH. DEWANTARA, SIBUHUAN"
SUMATERA UTARA,"Rumah sakit","RSUD PANDAN","JL DR. FL. TOBING NO 5 PANDAN"
SUMATERA UTARA,"Rumah sakit","RSU Sint Lucia","JL. SISINGAMANGARAJA NO. 171/173"
SUMATERA UTARA,"Rumah sakit","RS SINT LUCIA","SISINGAMANGARAJA NO. 171/173"
SUMATERA UTARA,"Rumah sakit","RS HKBP BALIGE","JL GEREJA NO 17 BALIGE"
SUMATERA UTARA,"Rumah sakit","RS IBU DAN ANAK DOKTER TAKDIR","JL SIRINGO-RINGO NO 11-13"
SUMATERA UTARA,"Rumah sakit","RS PTPN III AEK NABARA","Aek Nabara"
SUMATERA UTARA,"Rumah sakit","RSIA DOKTER TAKDIR","JL.SIRINGO-RINGO NO.11"
SUMATERA UTARA,"Rumah sakit","RSU  CITRA MEDIKA","JL.JEND. AHMAD YANI NO.221 RRA"
SUMATERA UTARA,"Rumah sakit","RSU Kasih Ibu (UGD)","Jl. Torpisang, Np.16"
SUMATERA UTARA,"Rumah sakit","RSU ELPI AL-AZIS","Jl. WR Supratman"
SUMATERA UTARA,"Rumah sakit","RSU KARYA BAKTI UJUNG BANDAR","JALAN KARYA BAKTI NO. 20"
SUMATERA UTARA,"Rumah sakit","RSU HARTATI MEDICAL CENTRE","JL.SIRINGO-RINGO NO 150 RANTAUPRAPAT"
SUMATERA UTARA,"Rumah sakit","RS PTPN III SEI DADAP","Protokol"
SUMATERA UTARA,"Rumah sakit","RS SETIO HUSODO","JL. SISINGAMANGARAJA NO 67"
SUMATERA UTARA,"Rumah sakit","RSU SEGER WARAS","Jl. Lintas Sumatera"
SUMATERA UTARA,"Rumah sakit","RSU WIRA HUSADA (UGD)","Jl. Kartini No 209"
SUMATERA UTARA,"Rumah sakit","RSU WIRA HUSADA","Jalan Kartini Nomor 209"
SUMATERA UTARA,"Rumah sakit","RSU IVAN HUSADA (UGD)","Jl. Gatot Subroto"
SUMATERA UTARA,"Rumah sakit","RSU Meth.Bintang Kasih (UGD)","Jl. H.O.S Cokroaminoto 46"
SUMATERA UTARA,"Rumah sakit","IGD RSU BUNDA MULIA","JL. ABDI SETIA BAKTI"
SUMATERA UTARA,"Rumah sakit","RSU BUNDA MULIA","ABDI SETIA BAKTI (TERMINAL MAD"
SUMATERA UTARA,"Rumah sakit","RSU SEI DADAP","LINTAS SUMATERA DUSUN IV"
SUMATERA UTARA,"Rumah sakit","RSU PTPN III SEI DADAP","JL. LINTAS SUMATERA, SEI DADAP"
SUMATERA UTARA,"Rumah sakit","RSU PERMATA HATI","JL. IR. H. JUANDA NO.21"
SUMATERA UTARA,"Rumah sakit","RSUD PERDAGANGAN","JL. RAJAMIN PURBA, SH"
SUMATERA UTARA,"Rumah sakit","RSUD TUAN RONDAHAIM","JL. P. Siantar-Seribu Dolok"
SUMATERA UTARA,"Rumah sakit","Rumah Sakit Laras PTP IV","JL. BESAR PEKAN BAHAPAL"
SUMATERA UTARA,"Rumah sakit","Karya Husada","Jl. Merdeka No. 112-18"
SUMATERA UTARA,"Rumah sakit","RSU MINA PADI","JL. Medan KM 10 "
SUMATERA UTARA,"Rumah sakit","RSU MINA PADI","JALAN MEDAN KM 10 SINAKSAK"
SUMATERA UTARA,"Rumah sakit","RUMAH SAKIT UMUM KARYA HUSADA","JALAN MERDEKA NO.12-18"
SUMATERA UTARA,"Rumah sakit","RS GKPS BETHESDA SARIBUDOLOK","JALAN KESEHATAN NO. 106"
SUMATERA UTARA,"Rumah sakit","FISIO TERAPI SERBA","JLSELAMET KETAREN"
SUMATERA UTARA,"Rumah sakit","RS EFARINA ETAHAM","JLN JAMIN GINTING NO. 1"
SUMATERA UTARA,"Rumah sakit","TIDAK AKTIF LAB. ANUGERAH","Jln Selamat Ketaren"
SUMATERA UTARA,"Rumah sakit","OMNI JAKARTA","Jl Pulomas Barat VI"
SUMATERA UTARA,"Rumah sakit","RUMAH SAKIT AMANDA","JL JAMIN GINTING NO. I S. KORP"
SUMATERA UTARA,"Rumah sakit","RSIA MINA HUSADA","JALAN KAPTEN PALA BANGUN NO 8"
SUMATERA UTARA,"Rumah sakit","RSU SEMBIRING","JL BESAR DELI TUA NO77"
SUMATERA UTARA,"Rumah sakit","RSU HIDAYAH","JL.MEDAN -DELITUA KM 8.5"
SUMATERA UTARA,"Rumah sakit","RS GRANDMED","JL. MEDAN-LUBUK PAKAM KM 25 NO"
SUMATERA UTARA,"Rumah sakit","RSU PATAR ASIH","DUSUN MANGGIS"
SUMATERA UTARA,"Rumah sakit","RS NURSAADAH","JL RAYA MEDAN - TANJUNG MORAWA"
SUMATERA UTARA,"Rumah sakit","RS GL TOBING C-19","TANJUNG MORAWA KM 15.5"
SUMATERA UTARA,"Rumah sakit","RS FULL BETHESDA","BINJAI KM 10.8 NO 71"
SUMATERA UTARA,"Rumah sakit","RS RAHMAD HIDAYAH","LIMAU MANIS PASAR XIII NO 61"
SUMATERA UTARA,"Rumah sakit","RSU HELVETIA","JL KAPTEN SUMARSONO/ KARYA - I"
SUMATERA UTARA,"Rumah sakit","RSU SINAR HUSNI","JL VETERAN UTAMA PASAR V GG.UT"
SUMATERA UTARA,"Rumah sakit","RS Grand Medica","JL. SNAKMA NO. 9"
SUMATERA UTARA,"Rumah sakit","RSU CITRA MEDIKA","MEDAN BT. KUIS NO. 377 PASAR X"
SUMATERA UTARA,"Rumah sakit","RSU KELIAT","SUTAN ARAB NO. 35 DUSUN 2"
SUMATERA UTARA,"Rumah sakit","RSU MITRA MEDIKA","Medan Bt kuis dusun XI emplasm"
SUMATERA UTARA,"Rumah sakit","RSU KASIH INSANI","besar namorambe no. 10-15"
SUMATERA UTARA,"Rumah sakit","RSU YOSHUA","medan lubuk pakam no. 70"
SUMATERA UTARA,"Rumah sakit","RSU PATAR ASIH","JL BAKARAN BATU NOMOR 188"
SUMATERA UTARA,"Rumah sakit","RSU YOSHUA C-19","JALAN MEDAN-PEMATANG SIANTAR N"
SUMATERA UTARA,"Rumah sakit","RSU KASIH INSANI","JALAN BESAR NAMORAMBE NO 10-15"
SUMATERA UTARA,"Rumah sakit","RSU RAHMAD HIDAYAH","Jl. Limau Manis pasar XIII no."
SUMATERA UTARA,"Rumah sakit","RSU Pancur Batu C-19","Jamin Ginting Km 17.5 "
SUMATERA UTARA,"Rumah sakit","RSU Pancur Batu","JL. JAMIN GINTING KM 17,5 PANC"
SUMATERA UTARA,"Rumah sakit","RSU Mitra Sehat ","Jl. Sei Merah No. 300/21"
SUMATERA UTARA,"Rumah sakit","RUMAH SAKIT JIWA BINA KARSA","JL. BESAR TUNTUNGAN, DESA TUNT"
SUMATERA UTARA,"Rumah sakit","RSIA PRAMALIESA","JALAN RUMBIA SENA NO. 65 DESA BARU"
SUMATERA UTARA,"Rumah sakit","RSU DELIA (NON AKTIF)","."
SUMATERA UTARA,"Rumah sakit","RS TANJUNG SELAMAT","BESAR BATANG SERANGAN"
SUMATERA UTARA,"Rumah sakit","RS PERTAMINA PANGKALAN BRANDAN","WAHIDIN NO 1"
SUMATERA UTARA,"Rumah sakit","RSU INSANI","PERNIAGAAN NO 36"
SUMATERA UTARA,"Rumah sakit","RS DELIA","JL. KI HAJAR DEWANTARA NO. 9 D"
SUMATERA UTARA,"Rumah sakit","RSU PUTRI BIDADARI","JL. STABAT-TANJUNG PURA"
SUMATERA UTARA,"Rumah sakit","RSU WAMPU NORITA ","JL. MEDAN-TJ. PURA NO. 86"
SUMATERA UTARA,"Rumah sakit","RSU MAHKOTA BIDADARI","JL. SISINGAMANGARAJA NO. 146"
SUMATERA UTARA,"Rumah sakit","RS DANKESYAH WILAYAH 010403","SISIMANGARAJA"
SUMATERA UTARA,"Rumah sakit","RSU. SIBOLGA MCU","DR. F.L TOBING"
SUMATERA UTARA,"Rumah sakit","RS RUMKITBAN 01.08.02 SIBOLGA","JL. ANGGREK NO. 6"
SUMATERA UTARA,"Rumah sakit","RS METTA MEDIKA","JL. SUTOYO SISWOMIHARJO NO.34"
SUMATERA UTARA,"Rumah sakit","RS METTA MEDIKA II","JL DIPONEGORO NO 6 - 8"
SUMATERA UTARA,"Rumah sakit","RSU HADI HUSADA","JL. JENDRAL SUDIRMAN NO. 26"
SUMATERA UTARA,"Rumah sakit","RUMAH SAKIT HARAPAN","JALAN FAREL PASARIBU NO. 21"
SUMATERA UTARA,"Rumah sakit","RUMAH SAKIT VITA INSANI","JL. MERDEKA NO. 329"
SUMATERA UTARA,"Rumah sakit","RUMAH SAKIT HORAS INSANI","JL. MEDAN KM 2,5 PEMATANGSIANT"
SUMATERA UTARA,"Rumah sakit","Rumah Sakit Suaka Insan","JALAN SERAM ATAS NO. 5 B P.SIA"
SUMATERA UTARA,"Rumah sakit","RS TIARA KASIH SEJATI","JALAN MENAMBIN NO.4"
SUMATERA UTARA,"Rumah sakit","RUMAH SAKIT MATA SIANTAR","JL. KARTINI NO. 18"
SUMATERA UTARA,"Rumah sakit","RSU RASYIDA SIANTAR","JALAN SERAM ATAS NO 5 B"
SUMATERA UTARA,"Rumah sakit","RS EFARINA ETAHAM","JL PDT J WISMAR SARAGIH"
SUMATERA UTARA,"Rumah sakit","RS BHAYANGKARA TEBING TINGGI","JL. PAHLAWAN NO.17 A "
SUMATERA UTARA,"Rumah sakit","RS BHAYANGKARA","JALAN PAHLAWAN NO 17"
SUMATERA UTARA,"Rumah sakit","RS SRI PAMELA","JL.JENDRAL SUDIRMAN NO 299"
SUMATERA UTARA,"Rumah sakit","RS CHEVANI","prof h m yamin "
SUMATERA UTARA,"Rumah sakit","RSU CHEVANI","JALAN PROF M. YAMIN NO. 17"
SUMATERA UTARA,"Rumah sakit","RSU UNPRI","JL. SIMALUNGUN, NO. 7A"
SUMATERA UTARA,"Rumah sakit","RSU NATAMA","Jl. Kartini No. 30A"
SUMATERA UTARA,"Rumah sakit","RS BINA KASIH","JL TB SIMATUPANG NO.148"
SUMATERA UTARA,"Rumah sakit","RS ESTOMIHI","SISINGAMANGARAJA NO 235 MEDAN"
SUMATERA UTARA,"Rumah sakit","LAB KLINIK PRAMITA (non aktif)","M YAMIN"
SUMATERA UTARA,"Rumah sakit","RS ESTOMIHI MEDAN (TIDAK AKTIF","SISINGAMANGARAJA NO 235 MEDAN"
SUMATERA UTARA,"Rumah sakit","RS ESTOMIHI 1 (TIDAK AKTIF)","SISINGAMANGARAJA NO 235 MEDAN"
SUMATERA UTARA,"Rumah sakit","RS ESTOMIHI 2 (TIDAK AKTIF)","SISINGAMANGARAJA NO 235 MEDAN"
SUMATERA UTARA,"Rumah sakit","LABORATORIUM PRODIA","update manual by TSI"
SUMATERA UTARA,"Rumah sakit","LABORATORIUM GATOT SUBROTO","update manual by TSI"
SUMATERA UTARA,"Rumah sakit","RS ESTOMIHI 3 (TIDAK AKTIF)","SISINGAMANGARAJA NO 235 MEDAN"
SUMATERA UTARA,"Rumah sakit","RS ESTOMIHI","JL, SISINGAMANGARAJA NO 235"
SUMATERA UTARA,"Rumah sakit","RS VINA ESTETICA (tdk aktif)","JL SULTAN ISKANDAR MUDA NO 119"
SUMATERA UTARA,"Rumah sakit","RSU VINA ESTETIKA","JL SULTAN ISKANDAR MUDA 119"
SUMATERA UTARA,"Rumah sakit","RSU MITRA SEJATI","update manual by TSI"
SUMATERA UTARA,"Rumah sakit","KLINIK MEDAN MEDICAL CENTER","JLHAGUSALIM MEDAN"
SUMATERA UTARA,"Rumah sakit","MURNI TEGUH M. SUSANNA WESLEY","JL. HARMONI BARU PS 1"
SUMATERA UTARA,"Rumah sakit","PRIMA HUSADA CIPTA MEDAN","JL. STASIUN NO.92"
SUMATERA UTARA,"Rumah sakit","AMETA SEJAHTERA","SIMPANG KANTOR NO.06"
SUMATERA UTARA,"Rumah sakit","IBNU SALEH","JL. H.M. JONI NO. 64/63-65"
SUMATERA UTARA,"Rumah sakit","Bahagia (TIDAK AKTIF)","Jl. Bahagia No. 85 Medan"
SUMATERA UTARA,"Rumah sakit","SITI HAJAR","JL. LETJEN JAMIN GINTING NO.02"
